,WVHT,DPD,APD,MWD,WTMP
35116,0.61,9.09,6.49,129.0,15.3
35119,0.63,8.33,6.41,129.0,15.1
35120,0.65,9.88,6.42,127.0,15.2
35121,0.6,8.33,6.25,129.0,15.2
35122,0.63,9.09,6.34,130.0,15.2
35124,0.6,9.09,6.2,123.0,15.2
35125,0.64,9.09,6.43,127.0,15.2
35126,0.6,9.09,6.14,125.0,15.3
35127,0.63,9.88,6.14,132.0,15.3
35128,0.6,9.09,6.33,126.0,15.3
35129,0.62,9.09,6.3,120.0,15.3
35130,0.58,9.09,6.15,118.0,15.3
35131,0.61,9.09,6.32,123.0,15.4
35132,0.61,9.09,6.37,125.0,15.4
35133,0.62,9.09,6.47,123.0,15.5
35134,0.61,9.09,6.51,123.0,15.5
35135,0.62,9.09,6.32,129.0,15.7
35136,0.62,9.09,6.38,126.0,15.9
35137,0.67,8.33,6.49,129.0,16.0
35138,0.59,8.33,6.55,140.0,16.1
35142,0.65,9.88,6.46,113.0,16.3
35143,0.62,9.09,6.03,129.0,16.3
35144,0.65,9.09,5.23,132.0,16.3
35145,0.65,9.09,4.94,125.0,16.5
35146,0.66,9.09,4.88,129.0,16.7
35147,0.63,9.09,4.9,126.0,17.0
35148,0.61,9.09,5.38,122.0,16.9
35149,0.67,10.53,5.51,118.0,16.9
35150,0.59,9.09,5.05,127.0,16.8
35151,0.64,9.09,5.34,129.0,16.7
35152,0.61,9.09,5.38,129.0,16.6
35153,0.6,9.09,5.32,125.0,16.5
35154,0.6,9.09,5.21,127.0,16.4
35155,0.65,9.09,5.7,127.0,16.3
35156,0.63,8.33,5.6,125.0,16.2
35157,0.62,8.33,5.5,127.0,16.1
35158,0.6,9.88,5.31,127.0,16.0
35159,0.61,9.09,5.42,125.0,16.0
35160,0.66,8.33,5.66,134.0,16.0
35161,0.66,8.33,5.4,127.0,15.9
35162,0.67,9.09,5.74,118.0,15.9
35163,0.63,6.67,5.74,127.0,15.8
35164,0.64,8.33,5.89,130.0,15.8
35165,0.62,10.53,6.03,113.0,15.7
35166,0.65,7.14,6.02,130.0,15.7
35167,0.63,8.33,5.97,130.0,15.6
35168,0.59,9.09,6.07,123.0,15.6
35169,0.58,7.69,5.84,133.0,15.5
35170,0.61,9.88,6.13,115.0,15.5
35171,0.58,9.09,6.19,120.0,15.4
35172,0.6,9.09,6.24,129.0,15.4
35173,0.58,9.88,6.15,108.0,15.4
35174,0.56,9.09,5.94,127.0,15.4
35175,0.56,9.09,5.96,123.0,15.4
35176,0.58,9.88,5.94,125.0,15.4
35177,0.56,9.09,5.57,127.0,15.4
35178,0.61,7.69,5.63,129.0,15.4
35179,0.58,9.09,5.46,123.0,15.4
35180,0.6,7.69,5.44,137.0,15.5
35181,0.6,9.09,5.27,120.0,15.7
35182,0.6,9.09,5.34,123.0,16.0
35183,0.62,9.09,5.6,115.0,16.0
35184,0.65,9.09,5.4,123.0,16.2
35185,0.62,9.09,5.52,120.0,16.6
35186,0.62,7.14,5.31,130.0,16.6
35187,0.62,9.09,5.39,125.0,16.9
35188,0.64,9.09,5.55,122.0,17.0
35189,0.65,9.09,5.64,119.0,16.9
35190,0.64,9.09,4.81,130.0,16.5
35191,0.69,8.33,4.54,120.0,16.6
35192,0.68,9.88,4.32,120.0,16.5
35193,0.69,8.33,4.04,123.0,16.6
35194,0.68,9.88,4.22,119.0,16.6
35195,0.66,9.09,3.9,112.0,16.6
35196,0.74,8.33,4.22,134.0,16.6
35197,0.76,8.33,3.99,134.0,16.6
35198,0.7,9.88,3.94,125.0,16.5
35199,0.71,9.88,4.01,127.0,16.4
35200,0.69,9.09,4.04,122.0,16.3
35201,0.66,8.33,4.04,125.0,16.1
35202,0.65,8.33,4.21,134.0,16.1
35203,0.65,8.33,4.31,125.0,16.0
35204,0.66,7.69,4.24,133.0,15.9
35205,0.66,8.33,4.24,127.0,15.8
35206,0.62,9.09,4.37,120.0,15.8
35207,0.62,9.09,4.35,123.0,15.8
35208,0.63,9.09,4.44,118.0,15.8
35209,0.66,8.33,4.72,133.0,15.8
35210,0.6,8.33,4.4,129.0,15.8
35211,0.61,9.09,4.5,127.0,15.8
35212,0.66,7.69,4.73,134.0,15.8
35213,0.61,6.67,4.61,139.0,15.8
35214,0.65,7.69,4.79,140.0,15.8
35215,0.65,8.33,4.77,123.0,15.7
35216,0.64,8.33,4.75,122.0,15.7
35217,0.67,9.09,4.71,120.0,15.7
35218,0.68,9.09,4.8,123.0,15.7
35219,0.65,8.33,4.76,129.0,15.7
35220,0.7,7.69,5.03,130.0,15.7
35221,0.69,9.88,4.92,122.0,15.7
35222,0.64,7.69,4.9,141.0,15.7
35223,0.65,4.35,4.59,168.0,15.7
35224,0.63,9.09,4.7,127.0,15.7
35226,0.63,7.69,4.93,136.0,15.7
35227,0.62,9.09,4.89,123.0,15.7
35228,0.6,9.88,4.86,120.0,15.7
35229,0.61,8.33,5.02,126.0,15.8
35230,0.58,8.33,5.0,120.0,15.9
35231,0.57,9.09,5.1,130.0,16.2
35232,0.59,8.33,5.27,127.0,16.4
35233,0.54,9.09,4.96,127.0,16.5
35234,0.59,7.69,5.25,137.0,16.8
35235,0.58,8.33,5.31,133.0,16.8
35236,0.58,9.09,5.33,129.0,18.0
35237,0.61,9.09,5.33,129.0,17.3
35238,0.62,9.09,5.33,137.0,16.9
35239,0.63,8.33,5.34,136.0,17.1
35240,0.66,8.33,5.2,129.0,16.9
35241,0.68,8.33,4.96,133.0,16.9
35242,0.67,9.88,4.93,123.0,17.0
35243,0.66,9.09,4.53,132.0,16.7
35244,0.65,7.69,4.57,143.0,16.7
35245,0.65,9.09,4.72,134.0,16.9
35246,0.65,9.09,5.14,136.0,16.9
35247,0.65,8.33,5.39,136.0,16.9
35248,0.6,9.09,5.22,126.0,16.8
35249,0.62,8.33,5.74,133.0,16.8
35250,0.6,8.33,5.75,137.0,16.8
35251,0.61,8.33,5.92,132.0,16.8
35252,0.61,8.33,6.05,125.0,16.7
35253,0.57,8.33,6.01,126.0,16.7
35254,0.63,8.33,6.21,136.0,16.7
35255,0.6,8.33,6.14,129.0,16.9
35256,0.64,8.33,6.34,133.0,16.8
35257,0.64,7.14,6.24,139.0,16.8
35258,0.67,8.33,6.22,129.0,16.7
35259,0.66,8.33,6.26,136.0,16.6
35260,0.65,8.33,6.2,130.0,16.6
35261,0.64,5.88,5.86,140.0,16.6
35262,0.68,8.33,5.97,132.0,16.3
35263,0.7,7.69,5.5,137.0,16.3
35264,0.71,7.69,4.95,129.0,16.4
35265,0.77,8.33,4.9,132.0,16.4
35266,0.81,8.33,4.77,132.0,16.5
35267,0.82,8.33,4.7,137.0,16.5
35268,0.82,7.69,4.27,134.0,16.5
35269,0.82,8.33,4.51,130.0,16.5
35270,0.83,8.33,4.36,130.0,16.5
35271,0.81,7.69,4.25,136.0,16.5
35272,0.83,7.69,4.49,139.0,16.5
35273,0.8,8.33,4.41,129.0,16.5
35274,0.76,9.09,4.38,129.0,16.5
35275,0.77,8.33,4.86,127.0,16.5
35276,0.71,8.33,4.77,129.0,16.5
35277,0.71,8.33,4.95,134.0,16.5
35278,0.7,7.69,4.82,127.0,16.6
35279,0.71,8.33,4.95,134.0,16.6
35280,0.7,8.33,5.13,126.0,16.6
35281,0.71,8.33,5.19,129.0,16.7
35282,0.73,8.33,5.36,132.0,16.7
35283,0.67,8.33,5.08,136.0,16.8
35284,0.75,8.33,5.66,125.0,16.9
35285,0.69,8.33,5.47,127.0,17.1
35286,0.73,7.14,5.98,137.0,17.4
35287,0.73,8.33,6.04,136.0,17.4
35288,0.69,7.69,5.86,133.0,17.3
35289,0.71,8.33,5.94,130.0,17.2
35290,0.7,8.33,5.69,133.0,17.1
35291,0.69,7.69,5.25,137.0,17.1
35292,0.74,8.33,5.45,127.0,17.1
35293,0.68,8.33,5.35,129.0,17.0
35294,0.66,7.14,5.48,140.0,17.0
35295,0.65,7.69,5.8,134.0,17.0
35296,0.63,8.33,5.71,127.0,17.0
35297,0.68,8.33,6.07,133.0,17.0
35298,0.62,8.33,6.08,125.0,17.0
35299,0.65,8.33,6.27,127.0,17.0
35300,0.59,8.33,6.18,129.0,16.9
35301,0.57,7.69,6.17,132.0,16.9
35302,0.56,8.33,6.07,132.0,16.9
35303,0.59,9.88,6.34,105.0,16.9
35304,0.6,8.33,6.28,134.0,16.9
35305,0.62,7.69,6.29,127.0,16.9
35306,0.61,7.69,6.16,127.0,16.9
35307,0.63,7.69,6.22,134.0,16.8
35308,0.63,7.14,6.06,139.0,16.8
35309,0.61,8.33,6.13,127.0,16.8
35310,0.63,7.69,6.01,126.0,16.8
35311,0.62,6.67,5.95,130.0,16.8
35312,0.61,7.69,6.03,125.0,16.8
35313,0.62,7.69,6.16,132.0,16.8
35314,0.64,7.69,6.13,129.0,16.8
35315,0.67,7.69,6.3,125.0,16.8
35316,0.66,7.69,6.32,132.0,16.8
35317,0.69,7.69,6.36,126.0,16.8
35318,0.6,7.69,6.15,127.0,16.7
35319,0.58,7.69,6.23,130.0,16.7
35320,0.6,7.69,6.29,129.0,16.7
35321,0.57,7.69,6.37,130.0,16.7
35322,0.59,8.33,6.35,126.0,16.8
35324,0.51,9.09,6.35,113.0,16.9
35325,0.5,7.14,6.36,129.0,17.0
35336,0.49,7.69,6.41,129.0,18.3
35337,0.56,7.69,6.56,132.0,18.0
35341,0.48,7.14,6.37,136.0,18.0
35343,0.48,8.33,6.38,123.0,17.8
35357,0.48,7.14,6.21,127.0,17.1
35358,0.49,7.69,6.24,123.0,17.0
35361,0.5,6.67,6.21,134.0,17.0
35362,0.5,8.33,6.12,127.0,17.0
35363,0.49,6.67,6.02,129.0,17.0
35364,0.49,6.67,6.14,134.0,17.0
35365,0.5,7.14,6.14,134.0,17.0
35376,0.48,6.67,5.63,132.0,18.1
35377,0.48,6.67,5.42,143.0,18.2
35378,0.51,7.69,5.67,127.0,18.1
35380,0.55,7.69,5.23,133.0,17.9
35381,0.55,7.69,5.01,129.0,17.9
35382,0.55,7.14,4.94,141.0,18.1
35383,0.55,7.69,4.93,126.0,18.0
35384,0.57,7.69,5.24,134.0,18.0
35385,0.57,6.67,5.1,129.0,18.0
35386,0.59,7.14,5.3,141.0,18.0
35387,0.58,6.67,5.26,151.0,18.1
35388,0.56,7.69,5.06,129.0,18.1
35389,0.58,6.67,5.45,146.0,18.0
35390,0.59,6.67,5.44,146.0,18.0
35391,0.55,6.67,5.3,141.0,18.0
35392,0.6,7.69,5.76,127.0,18.0
35393,0.57,7.14,5.52,136.0,18.0
35394,0.49,7.69,5.27,126.0,18.0
35395,0.52,7.69,5.54,125.0,18.0
35396,0.51,7.69,5.44,127.0,18.0
35397,0.53,7.69,5.59,127.0,17.9
35398,0.56,7.69,5.61,133.0,17.9
35399,0.51,7.14,5.3,130.0,17.9
35400,0.53,7.14,5.22,136.0,17.8
35401,0.61,7.14,5.11,127.0,17.8
35402,0.64,7.14,4.82,125.0,17.7
35403,0.67,7.69,4.88,132.0,17.7
35404,0.73,6.67,4.8,133.0,17.7
35405,0.75,4.55,4.8,132.0,17.7
35406,0.83,4.55,4.79,127.0,17.6
35407,0.8,4.55,4.75,130.0,17.6
35408,0.84,4.55,4.81,137.0,17.6
35409,0.82,4.35,4.69,143.0,17.6
35410,0.8,6.67,4.81,139.0,17.6
35411,0.82,4.76,4.78,140.0,17.6
35412,0.87,4.55,4.89,147.0,17.6
35413,0.86,4.76,4.85,141.0,17.6
35414,0.85,4.35,4.95,151.0,17.6
35415,0.81,5.0,4.93,126.0,17.7
35416,0.82,5.0,4.94,134.0,17.7
35417,0.87,5.26,4.97,139.0,17.8
35418,0.83,4.76,4.98,140.0,17.9
35419,0.85,5.0,4.95,137.0,18.0
35420,0.89,4.76,5.03,141.0,18.2
35421,0.87,5.26,4.86,132.0,18.3
35422,0.89,5.88,4.9,129.0,18.2
35423,0.94,5.26,4.59,140.0,18.0
35424,0.98,5.56,4.24,143.0,17.9
35425,1.06,5.26,4.32,144.0,17.8
35426,1.07,5.56,4.31,143.0,17.9
35427,1.06,5.56,4.43,136.0,18.0
35428,1.01,5.56,4.55,139.0,18.1
35429,1.02,5.88,4.77,150.0,18.2
35430,1.11,5.56,5.03,143.0,18.3
35431,1.08,6.67,5.11,141.0,18.4
35432,1.08,5.88,5.11,141.0,18.4
35433,1.06,5.56,5.22,140.0,18.4
35434,1.09,6.25,5.33,137.0,18.4
35435,1.06,5.56,5.31,147.0,18.4
35436,0.99,5.56,5.25,147.0,18.4
35437,1.09,5.56,5.34,151.0,18.4
35438,1.05,6.67,5.46,140.0,18.4
35439,0.99,5.88,5.36,144.0,18.4
35440,0.96,6.25,5.27,147.0,18.4
35441,0.97,5.88,5.36,140.0,18.4
35442,0.93,8.33,5.41,137.0,18.4
35443,0.94,8.33,5.45,141.0,18.4
35444,0.88,6.25,5.31,150.0,18.3
35445,0.99,7.69,5.62,140.0,18.4
35446,0.91,7.14,5.42,139.0,18.4
35447,0.91,8.33,5.46,140.0,18.4
35448,0.84,5.56,5.29,153.0,18.3
35449,0.92,8.33,5.42,144.0,18.3
35450,0.99,6.25,5.51,147.0,18.2
35451,0.94,7.14,5.43,146.0,18.2
35452,1.02,7.69,5.44,147.0,18.2
35453,1.06,7.14,5.34,146.0,18.2
35454,1.13,6.25,5.26,151.0,18.2
35455,1.15,6.25,5.2,158.0,18.2
35456,1.15,5.88,5.18,151.0,18.2
35457,1.14,6.67,5.0,151.0,18.2
35458,1.17,6.25,5.1,156.0,18.2
35459,1.22,6.67,5.27,151.0,18.2
35460,1.2,5.88,5.13,153.0,18.2
35461,1.25,6.25,5.38,153.0,18.2
35462,1.15,8.33,5.35,140.0,18.3
35463,1.16,7.14,5.16,150.0,18.3
35464,1.19,5.88,5.19,147.0,18.3
35465,1.2,8.33,4.82,139.0,18.2
35466,1.11,8.33,4.52,146.0,18.2
35467,1.16,7.14,4.8,144.0,18.2
35468,1.13,7.69,4.91,141.0,18.2
35469,1.13,9.09,5.05,137.0,18.4
35470,1.08,7.69,4.95,146.0,18.5
35471,1.08,7.14,5.24,151.0,18.6
35472,1.05,8.33,5.07,139.0,18.7
35473,0.99,7.14,5.04,143.0,18.9
35474,1.01,8.33,5.15,144.0,18.9
35475,1.02,8.33,5.17,139.0,18.9
35476,1.01,8.33,5.1,146.0,19.0
35477,1.03,7.14,5.02,147.0,19.0
35478,1.04,7.69,5.02,143.0,18.9
35479,1.03,7.69,4.93,149.0,18.9
35480,1.07,7.69,4.97,139.0,18.8
35481,1.03,7.69,4.85,144.0,18.7
35482,1.07,5.0,5.0,153.0,18.7
35483,1.04,7.69,4.9,137.0,18.7
35484,1.03,8.33,5.04,140.0,18.6
35485,1.03,7.69,4.91,141.0,18.6
35486,1.01,7.69,5.15,144.0,18.6
35487,0.94,7.14,5.04,140.0,18.6
35488,0.95,8.33,5.19,143.0,18.6
35489,0.91,7.69,5.2,136.0,18.7
35490,0.91,8.33,5.2,140.0,18.7
35491,0.88,7.69,5.46,144.0,18.8
35492,0.79,8.33,5.38,146.0,18.7
35493,0.83,8.33,5.61,141.0,18.7
35494,0.83,8.33,5.71,134.0,18.7
35495,0.76,7.69,5.17,141.0,18.8
35496,0.85,8.33,5.56,137.0,18.7
35497,0.81,7.69,5.46,137.0,18.6
35498,0.84,7.69,5.58,140.0,18.6
35499,0.86,7.14,5.53,144.0,18.6
35500,0.8,7.69,5.44,140.0,18.6
35501,0.87,7.69,5.49,140.0,18.5
35502,0.85,6.67,5.51,141.0,18.4
35503,0.85,7.14,5.4,139.0,18.4
35504,0.89,7.69,5.37,137.0,18.3
35505,0.86,7.14,5.3,137.0,18.3
35506,0.93,7.69,5.57,141.0,18.3
35507,0.89,7.14,5.51,139.0,18.3
35508,0.81,5.0,5.18,157.0,18.3
35509,0.87,7.14,5.51,139.0,18.4
35510,0.81,7.14,5.35,140.0,18.5
35511,0.79,7.69,5.44,134.0,18.8
35512,0.81,8.33,5.64,140.0,19.3
35513,0.78,8.33,5.52,140.0,19.5
35514,0.7,5.56,5.42,150.0,19.6
35515,0.78,8.33,5.68,139.0,19.8
35516,0.69,7.14,5.74,140.0,20.0
35517,0.71,8.33,5.78,140.0,20.1
35518,0.69,8.33,5.49,144.0,20.1
35519,0.72,8.33,5.51,144.0,20.1
35520,0.73,8.33,4.97,133.0,19.9
35521,0.77,7.69,5.05,137.0,19.7
35522,0.76,7.69,4.78,132.0,19.5
35523,0.78,7.69,4.69,134.0,19.3
35524,0.76,7.14,4.55,133.0,19.3
35525,0.79,7.69,4.79,126.0,19.2
35526,0.75,8.33,4.7,140.0,19.3
35527,0.87,8.33,5.2,140.0,19.3
35528,0.8,7.69,4.95,136.0,19.1
35529,0.82,7.69,5.11,129.0,19.1
35530,0.84,7.69,5.13,143.0,19.0
35531,0.87,7.69,5.2,130.0,19.0
35532,0.81,7.69,5.19,141.0,18.9
35533,0.82,7.69,5.32,132.0,18.9
35534,0.77,8.33,5.43,139.0,18.9
35535,0.77,7.69,5.38,134.0,18.8
35536,0.78,8.33,5.49,133.0,18.8
35537,0.76,7.69,5.4,129.0,18.8
35538,0.75,7.69,5.54,133.0,18.7
35539,0.74,7.69,5.62,137.0,18.7
35540,0.71,8.33,5.58,133.0,18.7
35541,0.69,7.14,5.33,134.0,18.6
35542,0.65,7.69,5.34,130.0,18.6
35543,0.7,8.33,5.48,134.0,18.6
35544,0.7,7.69,5.69,132.0,18.6
35545,0.65,7.69,5.57,123.0,18.6
35546,0.73,7.69,5.74,133.0,18.6
35547,0.71,7.69,5.6,132.0,18.6
35548,0.69,7.14,5.35,133.0,18.6
35549,0.78,7.69,5.56,120.0,18.5
35550,0.76,7.69,5.4,125.0,18.5
35551,0.71,8.33,5.03,132.0,18.5
35552,0.73,8.33,5.13,136.0,18.5
35553,0.76,7.69,5.22,127.0,18.5
35554,0.75,7.69,5.26,133.0,18.5
35555,0.78,7.14,5.09,133.0,18.5
35556,0.73,7.69,5.3,136.0,18.6
35557,0.76,7.14,5.24,141.0,18.6
35558,0.75,7.69,5.31,133.0,18.7
35559,0.67,8.33,5.23,134.0,18.7
35560,0.68,7.69,5.06,127.0,18.8
35561,0.65,7.69,5.17,119.0,18.9
35562,0.67,9.09,5.26,136.0,19.0
35563,0.64,8.33,5.02,132.0,18.9
35564,0.67,8.33,4.65,132.0,18.8
35565,0.7,9.09,3.94,139.0,18.8
35566,0.76,9.09,4.52,140.0,18.9
35567,0.74,8.33,4.38,136.0,18.9
35568,0.82,5.0,4.33,161.0,18.9
35569,0.9,5.0,4.5,160.0,18.9
35570,0.91,5.56,4.46,160.0,18.9
35571,0.91,5.56,4.3,157.0,18.8
35572,0.98,5.88,4.56,160.0,18.8
35573,0.99,6.25,4.76,156.0,18.8
35574,1.04,5.88,4.83,157.0,18.8
35575,1.1,5.88,4.92,156.0,18.7
35576,1.11,5.56,4.98,160.0,18.7
35577,1.04,5.88,4.84,151.0,18.6
35578,0.98,5.26,4.77,165.0,18.5
35579,1.07,6.25,4.89,157.0,18.5
35580,1.04,6.25,4.97,153.0,18.5
35581,1.09,6.67,5.07,149.0,18.4
35582,1.02,6.25,5.09,151.0,18.4
35583,1.03,5.56,5.22,164.0,18.5
35584,1.0,6.25,5.15,150.0,18.4
35585,1.0,6.25,5.2,153.0,18.4
35586,0.95,5.88,4.91,161.0,18.3
35587,1.06,5.88,4.57,157.0,18.1
35588,1.16,5.88,4.4,160.0,18.0
35589,1.14,5.0,4.47,161.0,17.7
35590,1.09,4.76,4.58,170.0,17.6
35591,1.05,6.67,4.69,154.0,17.6
35592,1.0,5.88,4.88,160.0,17.5
35593,1.23,6.25,5.55,160.0,17.5
35594,1.36,6.67,5.66,158.0,17.5
35595,1.41,6.67,5.93,154.0,17.5
35596,1.38,6.67,5.76,156.0,17.6
35597,1.3,6.67,5.59,150.0,17.6
35598,1.26,6.67,5.42,153.0,17.6
35599,1.22,6.67,5.38,143.0,17.7
35600,1.13,6.25,5.15,153.0,17.7
35601,1.1,5.88,5.2,158.0,17.8
35602,1.15,6.25,5.33,160.0,18.0
35603,1.07,5.88,5.41,158.0,18.1
35604,1.1,5.88,5.46,157.0,18.2
35605,1.08,6.67,5.64,164.0,18.4
35606,1.02,7.14,5.7,163.0,18.6
35607,0.94,7.14,5.45,167.0,18.6
35608,1.06,7.14,5.69,167.0,18.7
35609,0.96,7.14,5.51,163.0,18.6
35610,0.97,7.14,5.38,171.0,18.7
35611,0.94,7.14,5.09,161.0,18.6
35612,0.98,7.14,4.94,161.0,18.6
35613,1.01,6.67,4.83,161.0,18.6
35614,1.07,8.33,4.94,165.0,18.6
35615,1.03,8.33,4.72,160.0,18.6
35616,1.06,9.09,4.94,161.0,18.6
35617,1.04,7.69,4.89,160.0,18.7
35618,1.07,8.33,5.0,154.0,18.6
35619,1.04,8.33,5.0,143.0,18.6
35620,1.06,7.69,5.08,154.0,18.4
35621,0.98,8.33,4.86,149.0,18.3
35622,1.02,8.33,4.79,149.0,18.2
35623,0.99,8.33,5.1,144.0,18.0
35624,0.95,7.69,5.16,149.0,17.9
35625,0.98,7.69,4.87,150.0,17.7
35626,0.95,7.69,4.52,154.0,17.4
35627,0.93,7.69,4.2,147.0,17.1
35628,0.92,9.09,4.05,132.0,16.9
35629,0.92,8.33,4.09,140.0,16.7
35630,0.84,8.33,4.0,141.0,16.5
35631,0.79,8.33,4.08,147.0,16.5
35632,0.85,7.69,4.0,147.0,16.4
35633,0.75,8.33,3.64,156.0,16.4
35634,0.79,8.33,3.98,147.0,16.5
35635,0.76,8.33,3.98,143.0,16.6
35636,0.74,8.33,3.98,144.0,16.6
35637,0.73,7.69,3.88,154.0,16.6
35638,0.79,7.69,3.8,146.0,16.7
35639,0.79,8.33,3.69,149.0,16.6
35642,0.8,7.69,3.76,153.0,16.6
35643,0.8,7.69,3.89,149.0,16.6
35644,0.8,7.69,3.74,143.0,16.6
35645,0.78,7.69,3.66,149.0,16.6
35646,0.75,7.14,3.72,144.0,16.6
35647,0.76,7.69,3.85,144.0,16.7
35648,0.81,8.33,3.77,137.0,16.6
35651,0.83,7.69,3.64,136.0,16.6
35655,0.77,8.33,3.76,130.0,16.8
35656,0.73,9.09,3.59,130.0,17.0
35657,0.68,8.33,3.73,130.0,17.0
35660,0.62,8.33,4.04,132.0,17.5
35661,0.61,7.69,4.13,125.0,17.5
35662,0.59,8.33,4.15,127.0,17.5
35663,0.59,7.69,4.36,123.0,17.8
35664,0.55,7.69,4.08,132.0,17.9
35665,0.54,8.33,4.18,127.0,17.9
35666,0.53,8.33,4.18,139.0,18.0
35667,0.56,7.69,4.44,130.0,18.0
35668,0.52,8.33,4.48,120.0,18.1
35669,0.5,8.33,4.66,123.0,18.1
35670,0.51,7.69,4.87,129.0,18.3
35671,0.52,7.69,5.09,130.0,18.2
35672,0.54,8.33,5.31,122.0,18.1
35673,0.52,8.33,5.58,119.0,18.2
35674,0.5,7.69,5.63,132.0,18.1
35675,0.48,8.33,5.73,116.0,18.1
35676,0.52,7.14,6.01,127.0,18.1
35677,0.56,8.33,6.29,113.0,18.0
35678,0.75,8.33,3.63,104.0,17.8
35685,1.66,6.25,4.75,82.0,17.6
35687,1.56,5.88,4.6,78.0,17.7
35688,1.58,6.67,4.8,80.0,17.7
35689,1.47,5.88,4.44,82.0,17.6
35692,1.59,6.25,4.91,87.0,17.6
35693,1.44,5.0,4.69,78.0,17.5
35694,1.39,5.88,4.45,84.0,17.5
35697,1.33,5.88,4.59,88.0,17.5
35698,1.34,11.76,4.77,96.0,17.5
35699,1.33,5.88,4.75,84.0,17.5
35701,1.25,5.88,5.08,87.0,17.6
35702,1.23,6.25,5.18,88.0,17.6
35703,1.13,10.53,5.1,99.0,17.7
35704,1.06,11.76,5.21,95.0,17.7
35705,1.05,6.25,5.21,87.0,17.8
35706,1.08,11.11,5.6,98.0,17.8
35707,0.96,11.76,5.41,96.0,17.9
35708,0.96,11.11,5.42,92.0,17.9
35709,0.94,11.11,5.59,95.0,17.9
35710,0.89,11.11,5.35,88.0,18.0
35711,0.95,11.11,5.68,91.0,17.9
35712,0.89,10.53,5.53,96.0,17.9
35714,0.87,9.88,5.21,94.0,17.8
35715,0.83,5.88,5.14,96.0,17.8
35716,0.82,11.11,4.93,87.0,17.8
35717,0.85,11.76,4.97,95.0,17.7
35718,0.83,11.11,5.11,92.0,17.7
35719,0.87,10.53,5.5,95.0,17.7
35720,0.83,11.11,5.41,96.0,17.7
35721,0.79,11.76,5.03,96.0,17.7
35722,0.79,11.76,5.16,94.0,17.7
35723,0.82,11.11,5.26,94.0,17.7
35724,0.76,11.76,4.93,95.0,17.6
35725,0.73,10.53,4.83,92.0,17.6
35726,0.78,10.53,5.13,96.0,17.6
35727,0.77,10.53,5.2,88.0,17.6
35728,0.74,11.11,5.08,91.0,17.6
35729,0.75,10.53,4.95,87.0,17.5
35730,0.78,10.53,5.3,99.0,17.5
35731,0.72,11.11,4.95,94.0,17.5
35732,0.75,11.11,4.99,92.0,17.5
35733,0.78,10.53,5.17,94.0,17.5
35734,0.73,11.11,5.06,94.0,17.5
35735,0.72,11.11,4.97,87.0,17.5
35736,0.74,11.11,4.95,96.0,17.5
35737,0.73,10.53,4.94,94.0,17.5
35738,0.72,11.11,4.84,94.0,17.5
35739,0.72,9.88,4.59,94.0,17.5
35740,0.75,9.88,4.9,88.0,17.5
35741,0.76,10.53,4.52,89.0,17.5
35742,0.78,10.53,4.6,92.0,17.5
35743,0.79,11.11,4.36,89.0,17.5
35744,0.76,11.11,4.24,96.0,17.5
35745,0.74,9.88,4.32,87.0,17.5
35746,0.78,9.88,4.5,89.0,17.5
35747,0.78,10.53,4.5,95.0,17.5
35748,0.73,11.11,4.25,95.0,17.6
35749,0.73,9.88,4.08,92.0,17.6
35750,0.77,11.11,4.01,94.0,17.6
35751,0.8,10.53,3.86,95.0,17.6
35752,0.84,10.53,3.82,94.0,17.7
35754,0.86,9.88,3.92,96.0,17.6
35755,0.79,11.11,3.68,101.0,17.6
35756,0.84,10.53,3.69,91.0,17.6
35757,0.82,10.53,3.59,104.0,17.6
35759,0.88,9.88,3.67,102.0,17.7
35766,1.13,5.0,3.84,182.0,17.6
35770,1.35,5.56,4.24,185.0,17.5
35772,1.31,5.88,4.36,181.0,17.5
35773,1.31,5.88,4.27,185.0,17.5
35775,1.25,5.88,4.18,186.0,17.4
35777,1.24,5.88,4.23,185.0,17.4
35778,1.18,6.25,4.15,179.0,17.4
35779,1.15,5.88,4.29,185.0,17.0
35780,1.11,5.56,4.16,185.0,17.1
35781,1.13,5.56,4.33,181.0,17.1
35782,1.07,5.88,4.21,181.0,16.9
35783,1.1,6.25,4.29,178.0,16.7
35784,1.06,5.88,4.28,179.0,16.8
35785,1.07,6.25,4.46,174.0,16.7
35786,1.01,6.67,4.47,172.0,16.7
35787,0.97,6.25,4.43,172.0,16.7
35788,0.96,6.25,4.37,172.0,16.8
35789,0.92,6.25,4.25,170.0,16.8
35790,0.96,6.25,4.41,174.0,16.9
35791,0.98,5.88,4.41,172.0,17.0
35792,0.87,6.25,4.4,171.0,17.1
35793,0.9,5.88,4.61,172.0,17.4
35794,0.89,6.25,4.72,171.0,17.7
35795,0.87,5.88,4.64,168.0,17.8
35796,0.84,6.25,4.7,175.0,18.0
35797,0.83,6.25,4.51,174.0,17.9
35798,0.77,6.67,4.42,164.0,18.0
35799,0.85,6.25,4.61,167.0,18.1
35800,0.86,6.25,4.42,172.0,17.9
35801,0.87,6.67,4.52,171.0,17.9
35802,0.83,6.67,4.31,172.0,17.8
35803,0.85,6.25,4.21,168.0,17.7
35804,0.8,6.67,4.05,168.0,17.6
35805,0.86,5.88,4.08,179.0,17.5
35806,0.89,6.67,4.13,165.0,17.5
