,WVHT,DPD,APD,MWD,WTMP
3148,0.48,10.53,6.03,113.0,10.3
3153,0.49,11.11,5.39,104.0,10.7
3154,0.51,11.11,5.52,99.0,10.7
3180,0.49,10.53,4.51,109.0,10.7
3181,0.49,11.11,4.59,108.0,10.6
3182,0.51,11.76,4.74,118.0,10.6
3183,0.53,11.76,4.56,113.0,10.6
3184,0.56,4.35,4.59,175.0,10.6
3185,0.54,4.35,4.55,175.0,10.5
3186,0.53,4.17,4.53,178.0,10.5
3187,0.52,4.17,4.48,175.0,10.5
3188,0.52,4.35,4.49,175.0,10.5
3189,0.54,4.35,4.67,181.0,10.5
3191,0.5,4.17,4.55,181.0,10.5
3192,0.48,10.53,4.72,116.0,10.5
3225,0.48,11.11,4.18,118.0,11.3
3227,0.48,11.11,4.32,120.0,11.5
3228,0.48,11.76,4.31,119.0,11.6
3229,0.52,10.53,4.55,119.0,11.6
3230,0.52,4.35,4.4,156.0,11.7
3231,0.58,4.55,4.46,161.0,11.6
3232,0.53,4.17,4.32,158.0,11.8
3233,0.53,4.35,4.35,158.0,11.8
3234,0.54,4.35,4.38,156.0,11.5
3235,0.55,4.35,4.36,156.0,11.4
3236,0.56,4.35,4.31,154.0,11.4
3237,0.57,4.55,4.47,151.0,11.5
3238,0.63,4.55,4.53,163.0,11.5
3239,0.64,5.26,4.75,164.0,11.5
3240,0.69,5.56,4.93,168.0,11.6
3241,0.7,5.88,4.94,167.0,11.6
3242,0.69,5.88,5.21,165.0,11.7
3243,0.66,5.56,5.18,165.0,11.7
3244,0.67,5.88,5.19,165.0,11.9
3245,0.7,5.88,5.38,168.0,11.9
3246,0.71,5.56,5.39,168.0,11.9
3247,0.78,5.88,5.39,163.0,12.0
3248,0.86,5.56,5.45,160.0,12.0
3249,0.9,6.25,5.37,164.0,12.1
3250,1.06,6.67,5.59,160.0,12.1
3251,1.11,6.67,5.56,154.0,11.9
3252,1.17,6.25,5.51,158.0,11.9
3253,1.23,6.25,5.51,156.0,11.8
3254,1.29,6.25,5.45,150.0,11.8
3255,1.31,6.67,5.55,151.0,11.8
3256,1.28,6.67,5.61,156.0,11.8
3257,1.23,6.25,5.52,153.0,11.8
3258,1.2,6.25,5.58,158.0,11.8
3259,1.13,6.67,5.54,160.0,11.7
3260,1.18,6.67,5.64,161.0,11.8
3261,1.17,6.67,5.55,157.0,11.8
3262,1.13,7.14,5.59,158.0,11.9
3263,1.1,7.14,5.6,161.0,11.8
3264,1.02,6.67,5.47,156.0,11.8
3265,1.06,7.14,5.55,157.0,11.8
3266,1.14,7.14,5.75,163.0,11.8
3267,1.14,7.14,5.78,160.0,11.7
3268,1.07,7.69,5.6,163.0,11.7
3269,1.05,6.67,5.6,160.0,11.6
3270,1.12,7.14,5.78,160.0,11.6
3271,1.13,7.14,5.86,154.0,11.6
3272,1.33,7.14,5.73,160.0,11.5
3306,1.65,11.11,6.52,126.0,11.8
3310,1.53,9.88,6.5,132.0,11.6
3314,1.38,10.53,6.38,127.0,11.3
3323,1.4,9.09,6.53,136.0,11.1
3325,1.37,9.09,6.44,137.0,11.0
3327,1.56,9.09,6.55,137.0,11.0
3328,1.46,9.09,6.51,129.0,11.0
3329,1.45,8.33,6.5,136.0,11.0
3331,1.39,9.09,6.46,126.0,11.0
3332,1.39,9.09,6.44,129.0,11.1
3333,1.22,9.09,6.3,126.0,11.1
3334,1.28,9.09,6.35,130.0,11.2
3335,1.26,9.09,6.54,127.0,11.4
3336,1.22,8.33,6.38,132.0,11.4
3337,1.28,9.09,6.52,129.0,11.4
3338,1.17,9.09,6.2,123.0,11.5
3339,1.17,8.33,6.33,127.0,11.6
3340,1.14,9.09,6.23,126.0,11.7
3341,1.16,8.33,6.16,129.0,11.7
3342,1.22,8.33,5.88,129.0,11.7
3343,1.25,8.33,5.44,127.0,11.7
3344,1.21,9.09,4.88,113.0,11.7
3345,1.33,8.33,5.04,136.0,11.7
3346,1.43,9.09,5.11,119.0,11.7
3347,1.34,9.09,5.19,123.0,11.7
3348,1.32,9.09,5.04,125.0,11.7
3349,1.43,8.33,5.13,129.0,11.7
3350,1.43,8.33,4.98,130.0,11.7
3351,1.53,9.09,5.14,123.0,11.6
3352,1.59,9.09,5.04,118.0,11.5
3353,1.44,8.33,5.14,136.0,11.5
3354,1.51,9.88,5.23,112.0,11.5
3355,1.47,11.11,5.45,101.0,11.5
3356,1.45,9.88,5.18,111.0,11.5
3357,1.47,11.11,5.44,102.0,11.5
3358,1.4,9.88,5.41,122.0,11.5
3359,1.4,9.88,5.48,106.0,11.5
3360,1.44,9.88,5.75,119.0,11.7
3361,1.33,10.53,5.48,111.0,11.7
3362,1.37,11.11,5.46,111.0,11.7
3363,1.32,9.88,5.25,115.0,11.6
3364,1.26,10.53,5.18,105.0,11.6
3365,1.21,10.53,4.94,118.0,11.5
3366,1.31,10.53,5.3,118.0,11.5
3367,1.2,9.09,5.27,126.0,11.4
3368,1.19,9.09,5.16,127.0,11.4
3369,1.18,9.09,5.0,123.0,11.4
3370,1.23,11.11,5.06,108.0,11.4
3371,1.14,10.53,5.18,122.0,11.3
3372,1.22,9.88,5.1,119.0,11.3
3373,1.2,9.09,5.12,125.0,11.3
3374,1.19,10.53,4.98,108.0,11.3
3375,1.15,9.09,5.03,130.0,11.3
3376,1.21,10.53,4.91,118.0,11.3
3377,1.16,9.88,4.88,126.0,11.2
3378,1.24,10.53,5.02,116.0,11.2
3379,1.17,10.53,4.85,119.0,11.2
3380,1.26,10.53,5.1,120.0,11.2
3381,1.19,9.88,5.06,120.0,11.2
3382,1.15,9.09,5.13,129.0,11.2
3383,1.19,9.88,5.28,125.0,11.2
3384,1.11,10.53,5.25,112.0,11.3
3385,1.1,9.09,5.48,134.0,11.3
3386,1.16,9.88,5.87,118.0,11.4
3387,1.09,9.88,5.71,134.0,11.5
3388,1.1,9.09,5.95,136.0,11.6
3389,1.08,9.88,6.04,141.0,11.7
3390,1.16,9.88,6.19,122.0,11.8
3391,1.2,9.88,6.07,126.0,11.8
3392,1.26,9.88,5.87,126.0,11.8
3393,1.28,8.33,5.47,157.0,11.8
3394,1.34,7.69,5.21,161.0,11.7
3395,1.37,7.69,5.09,157.0,11.7
3396,1.37,7.69,5.17,167.0,11.7
3397,1.37,8.33,5.04,156.0,11.6
3398,1.32,10.53,5.11,120.0,11.6
3399,1.23,9.88,5.24,127.0,11.6
3400,1.2,10.53,5.04,116.0,11.6
3401,1.19,10.53,5.05,127.0,11.6
3402,1.16,10.53,5.15,112.0,11.6
3403,1.14,9.88,5.46,116.0,11.6
3404,1.09,10.53,5.48,119.0,11.6
3405,1.08,9.88,5.65,127.0,11.6
3406,0.98,9.88,5.48,122.0,11.6
3407,0.96,9.88,5.67,122.0,11.6
3408,0.97,9.88,5.81,130.0,11.6
3409,0.94,9.88,5.75,122.0,11.6
3410,0.89,10.53,5.7,116.0,11.6
3411,0.85,9.88,5.51,125.0,11.6
3412,0.85,9.88,5.38,125.0,11.6
3413,0.84,9.88,5.22,127.0,11.6
3414,0.88,9.09,5.24,137.0,11.6
3415,0.86,10.53,4.96,111.0,11.5
3416,0.89,9.09,4.98,134.0,11.5
3417,0.95,9.88,4.87,119.0,11.5
3418,0.92,9.88,4.62,106.0,11.5
3419,0.92,11.11,4.5,101.0,11.5
3420,0.91,9.88,4.58,115.0,11.4
3421,0.94,9.09,4.74,123.0,11.4
3423,0.91,9.88,4.69,125.0,11.4
3424,0.87,11.11,5.02,102.0,11.4
3425,0.84,11.11,4.74,104.0,11.3
3426,0.87,11.11,5.22,95.0,11.3
3427,0.83,11.76,5.22,92.0,11.3
3428,0.76,9.88,5.11,123.0,11.3
3430,0.79,11.76,5.63,96.0,11.3
3431,0.81,9.88,6.24,106.0,11.4
3432,0.72,9.88,6.33,125.0,11.5
3434,0.68,10.53,6.25,105.0,11.7
3438,0.7,11.76,6.22,89.0,12.1
3439,0.72,11.76,5.73,98.0,11.9
3440,0.78,11.11,5.17,99.0,12.0
3441,0.77,10.53,4.7,101.0,12.0
3442,0.83,9.88,5.08,102.0,12.0
3443,0.74,11.76,4.74,89.0,11.9
3444,0.78,11.76,4.62,94.0,11.8
3445,0.77,11.11,4.79,99.0,11.7
3446,0.78,11.76,4.73,106.0,11.7
3448,0.74,11.76,4.84,92.0,11.7
3450,0.73,11.76,5.22,92.0,11.7
3453,0.67,11.76,6.04,99.0,11.7
3455,0.62,11.76,6.04,94.0,11.8
3456,0.69,11.76,4.63,104.0,11.7
3458,0.82,11.76,3.89,99.0,11.5
3459,0.85,10.53,3.93,102.0,11.4
3462,0.8,11.11,4.15,94.0,11.4
3463,0.78,10.53,4.4,102.0,11.3
3464,0.78,11.11,4.35,99.0,11.3
3465,0.8,10.53,4.32,108.0,11.3
3466,0.8,11.11,4.1,96.0,11.3
3467,0.76,9.88,4.17,92.0,11.3
3468,0.72,11.11,4.12,99.0,11.3
3469,0.72,10.53,4.12,91.0,11.3
3470,0.66,10.53,4.35,95.0,11.2
3471,0.63,10.53,4.86,95.0,11.2
3472,0.61,11.11,4.22,99.0,11.1
3474,0.69,11.11,4.46,96.0,11.1
3477,0.68,11.76,4.37,95.0,11.1
3478,0.66,11.76,4.31,96.0,11.2
3479,0.72,11.11,4.31,105.0,11.2
3482,0.78,10.53,4.22,88.0,11.2
3483,0.78,10.53,4.36,95.0,11.2
3485,0.77,11.76,4.56,102.0,11.3
3487,0.85,9.88,4.91,102.0,11.3
3488,0.84,11.11,4.96,99.0,11.3
3489,0.81,10.53,5.1,94.0,11.3
3490,0.83,11.76,5.32,94.0,11.2
3491,0.83,11.76,5.45,84.0,11.2
3492,0.81,11.76,5.7,95.0,11.2
3493,0.94,11.11,5.63,92.0,11.1
3494,0.93,10.53,5.56,96.0,11.1
3495,0.96,11.11,5.66,98.0,11.1
3496,0.95,9.88,5.3,95.0,11.1
3497,0.98,11.11,5.59,105.0,11.1
3498,0.92,11.76,5.52,92.0,11.1
3499,0.96,11.76,5.31,91.0,11.1
3500,0.92,11.11,4.96,99.0,11.1
3501,0.93,10.53,5.22,94.0,11.1
3503,0.83,11.11,5.59,101.0,11.0
3504,0.8,11.76,5.73,104.0,11.1
3505,0.81,11.76,6.01,95.0,11.1
3506,0.76,10.53,5.78,101.0,11.1
3507,0.82,11.76,6.42,99.0,11.1
3508,0.78,10.53,6.54,98.0,11.0
3518,0.89,10.53,6.55,95.0,11.0
3519,0.95,11.11,6.54,88.0,11.0
3573,1.11,11.76,4.86,106.0,11.0
3587,1.0,11.76,5.38,94.0,11.0
3588,0.99,11.76,5.14,108.0,11.0
3591,0.97,5.88,5.32,91.0,10.9
3592,1.07,11.76,6.11,94.0,10.9
3594,1.05,11.76,6.12,106.0,10.9
3595,1.05,7.14,6.22,92.0,10.9
3597,0.98,11.76,6.16,98.0,10.9
3600,0.94,11.76,6.24,102.0,10.9
3601,0.89,11.76,6.11,101.0,10.9
3605,0.66,7.69,6.01,95.0,10.9
3606,0.65,11.76,6.47,111.0,10.9
3617,0.63,11.76,6.42,96.0,10.9
3618,0.68,11.76,6.07,98.0,10.9
3619,0.68,11.11,5.8,102.0,10.9
3620,0.7,11.11,5.93,102.0,11.0
3621,0.68,11.76,6.3,106.0,11.0
3634,0.59,11.76,6.3,95.0,12.2
3635,0.63,8.33,6.06,91.0,12.1
3636,0.69,7.69,5.95,94.0,12.1
3637,0.68,11.11,5.89,105.0,12.1
